ts load1 procs_r ctxt_per_s irq_per_s radiod_cpu wspr_cpu psk_cpu timestd_cpu
1786580213 6.42 2 0 0 112 11 9 92
1786580273 8.39 42 87224 44500 112 11 9 92
1786580333 7.98 3 86840 44230 112 11 9 92
1786580393 5.75 4 87653 44653 112 11 9 92
1786580453 7.34 3 84845 43390 112 11 9 92
1786580513 5.91 3 87369 44675 112 11 9 92
1786580573 7.72 37 85647 43624 112 11 9 92
1786580634 5.00 4 86204 43980 112 11 9 92
1786580694 3.90 5 85813 43876 112 11 9 91
1786580754 5.85 5 87521 44671 112 11 9 91
1786580814 9.43 2 84807 43215 112 11 9 91
1786580874 5.79 3 87548 44769 112 11 9 91
1786580934 4.79 3 85969 43712 112 11 9 91
1786580994 8.96 3 87213 44643 112 11 9 91
1786581054 12.38 2 81599 41674 112 11 9 92
1786581114 7.52 2 86927 44400 112 11 9 92
1786581174 6.65 2 84446 42937 112 11 9 91
1786581235 5.32 3 86462 44316 112 11 9 91
1786581295 10.05 3 86468 44066 112 11 9 91
1786581355 9.43 1 86789 44638 112 11 9 91
1786581415 9.56 3 84501 43019 112 11 9 91
1786581475 10.32 3 86542 44265 112 11 9 91
1786581535 7.27 3 86115 43777 112 11 9 91
1786581595 8.89 1 87660 44928 112 11 9 91
1786581655 11.08 2 82939 42243 112 11 9 91
1786581715 6.38 4 87869 44997 112 11 9 91
1786581775 8.18 4 84586 42902 112 11 9 91
1786581835 7.75 4 87420 44612 112 11 9 91
1786581896 11.48 2 84308 42912 112 11 9 91
1786581956 9.15 2 86978 44247 112 11 9 91
1786582016 7.73 2 86311 43710 112 11 9 91
1786582076 11.22 4 86840 44438 112 11 9 91
1786582136 10.83 46 84852 43145 112 11 9 91
1786582196 11.65 4 87243 44407 112 11 9 91
1786582256 10.37 2 82126 41988 112 11 9 91
1786582316 8.10 2 86236 44189 112 11 9 91
1786582376 11.67 1 83873 42671 112 11 9 91
1786582436 8.24 2 87307 44524 112 11 9 91
1786582497 6.72 3 84298 42805 112 11 9 91
1786582557 5.10 2 87354 44782 112 11 9 91
1786582617 5.25 1 84745 43034 112 11 9 91
1786582677 7.82 41 86137 44323 112 11 9 91
1786582737 4.92 3 85225 43319 112 11 9 91
1786582797 7.73 3 87479 44732 112 11 9 91
1786582857 9.67 3 81766 41702 112 11 9 91
1786582917 9.05 4 86838 44441 112 11 9 141
1786582977 6.39 2 82090 42010 112 11 9 141
1786583037 7.84 2 87231 44740 112 11 9 141
1786583098 7.99 3 82787 42304 112 11 9 141
1786583158 8.02 1 86366 44299 112 11 9 141
1786583218 4.70 3 83652 43086 112 11 9 141
1786583278 5.50 3 86166 44211 112 11 9 141
1786583338 8.38 6 84850 43123 112 11 9 141
1786583398 6.92 3 86248 44179 112 11 9 141
1786583458 11.02 4 79355 40429 112 11 9 141
1786583518 9.83 3 87615 44899 112 11 9 141
1786583578 11.31 2 83066 42193 112 11 9 141
1786583638 8.07 3 86553 44225 112 11 9 141
1786583699 7.22 2 83101 42228 112 11 9 141
1786583759 8.43 2 85326 43683 112 11 9 141
1786583819 8.96 2 82134 41766 112 11 9 141
1786583879 9.82 2 86469 44297 112 11 9 141
1786583939 7.81 2 85091 43419 112 11 9 141
1786583999 8.10 6 87272 44700 112 11 9 141
1786584059 11.52 2 62584 32621 112 11 9 260
1786584119 10.59 2 87388 44692 112 11 9 181
